X : 10, Y : 5, G : 282, H : 4800, F : 5082
X : 13, Y : 3, G : 382, H : 4700, F : 5082
X : 10, Y : 6, G : 382, H : 4700, F : 5082
X : 12, Y : 3, G : 282, H : 4800, F : 5082
X : 16, Y : 5, G : 905, H : 4200, F : 5105
X : 12, Y : 9, G : 905, H : 4200, F : 5105
X : 11, Y : 9, G : 805, H : 4300, F : 5105
X : 16, Y : 4, G : 805, H : 4300, F : 5105
X : 13, Y : 12, G : 1328, H : 3800, F : 5128
X : 12, Y : 12, G : 1228, H : 3900, F : 5128
X : 9, Y : 4, G : 141, H : 5000, F : 5141
X : 12, Y : 2, G : 241, H : 4900, F : 5141
X : 9, Y : 5, G : 241, H : 4900, F : 5141
X : 11, Y : 2, G : 141, H : 5000, F : 5141
X : 11, Y : 8, G : 764, H : 4400, F : 5164
X : 15, Y : 3, G : 664, H : 4500, F : 5164
X : 10, Y : 8, G : 664, H : 4500, F : 5164
X : 15, Y : 4, G : 764, H : 4400, F : 5164
X : 11, Y : 11, G : 1087, H : 4100, F : 5187
X : 12, Y : 11, G : 1187, H : 4000, F : 5187
X : 10, Y : 2, G : 100, H : 5100, F : 5200
X : 9, Y : 3, G : 100, H : 5100, F : 5200
X : 9, Y : 7, G : 523, H : 4700, F : 5223
X : 9, Y : 6, G : 423, H : 4800, F : 5223
X : 14, Y : 3, G : 623, H : 4600, F : 5223
X : 10, Y : 7, G : 623, H : 4600, F : 5223
X : 14, Y : 2, G : 523, H : 4700, F : 5223
X : 10, Y : 10, G : 946, H : 4300, F : 5246
X : 11, Y : 10, G : 1046, H : 4200, F : 5246
X : 8, Y : 5, G : 282, H : 5000, F : 5282
X : 13, Y : 1, G : 382, H : 4900, F : 5282
X : 8, Y : 6, G : 382, H : 4900, F : 5282
X : 13, Y : 2, G : 482, H : 4800, F : 5282
X : 9, Y : 9, G : 805, H : 4500, F : 5305
X : 16, Y : 2, G : 805, H : 4500, F : 5305
X : 10, Y : 9, G : 905, H : 4400, F : 5305
X : 16, Y : 3, G : 905, H : 4400, F : 5305
X : 11, Y : 12, G : 1328, H : 4000, F : 5328
X : 10, Y : 12, G : 1228, H : 4100, F : 5328
X : 12, Y : 1, G : 341, H : 5000, F : 5341
X : 8, Y : 4, G : 241, H : 5100, F : 5341
X : 9, Y : 2, G : 141, H : 5200, F : 5341
X : 8, Y : 8, G : 664, H : 4700, F : 5364
X : 9, Y : 8, G : 764, H : 4600, F : 5364
X : 15, Y : 1, G : 664, H : 4700, F : 5364
X : 15, Y : 2, G : 764, H : 4600, F : 5364
X : 9, Y : 11, G : 1087, H : 4300, F : 5387
X : 10, Y : 11, G : 1187, H : 4200, F : 5387
X : 7, Y : 6, G : 423, H : 5000, F : 5423
X : 14, Y : 1, G : 623, H : 4800, F : 5423
X : 7, Y : 7, G : 523, H : 4900, F : 5423
X : 8, Y : 7, G : 623, H : 4800, F : 5423
X : 14, Y : 0, G : 523, H : 4900, F : 5423
X : 9, Y : 10, G : 1046, H : 4400, F : 5446
X : 8, Y : 10, G : 946, H : 4500, F : 5446
X : 17, Y : 1, G : 946, H : 4500, F : 5446
X : 18, Y : 2, G : 1087, H : 4300, F : 5387
X : 19, Y : 3, G : 1228, H : 4100, F : 5328
X : 20, Y : 4, G : 1369, H : 3900, F : 5269
X : 21, Y : 5, G : 1510, H : 3700, F : 5210
X : 22, Y : 6, G : 1651, H : 3500, F : 5151
X : 23, Y : 7, G : 1792, H : 3300, F : 5092
X : 24, Y : 8, G : 1933, H : 3100, F : 5033
X : 25, Y : 9, G : 2074, H : 2900, F : 4974
X : 26, Y : 10, G : 2215, H : 2700, F : 4915
X : 27, Y : 11, G : 2356, H : 2500, F : 4856
X : 28, Y : 12, G : 2497, H : 2300, F : 4797
X : 29, Y : 13, G : 2638, H : 2100, F : 4738
X : 30, Y : 14, G : 2779, H : 1900, F : 4679
X : 31, Y : 15, G : 2920, H : 1700, F : 4620
X : 32, Y : 16, G : 3061, H : 1500, F : 4561
X : 33, Y : 17, G : 3202, H : 1300, F : 4502
X : 34, Y : 18, G : 3343, H : 1100, F : 4443
X : 35, Y : 18, G : 3443, H : 1000, F : 4443
X : 34, Y : 17, G : 3302, H : 1200, F : 4502
X : 33, Y : 18, G : 3302, H : 1200, F : 4502
X : 33, Y : 16, G : 3161, H : 1400, F : 4561
X : 32, Y : 17, G : 3161, H : 1400, F : 4561
X : 35, Y : 17, G : 3484, H : 1100, F : 4584
X : 35, Y : 19, G : 3484, H : 1100, F : 4584
X : 32, Y : 15, G : 3020, H : 1600, F : 4620
X : 31, Y : 16, G : 3020, H : 1600, F : 4620
X : 35, Y : 16, G : 3443, H : 1200, F : 4643
X : 32, Y : 18, G : 3343, H : 1300, F : 4643
X : 34, Y : 19, G : 3443, H : 1200, F : 4643
X : 34, Y : 16, G : 3343, H : 1300, F : 4643
X : 31, Y : 14, G : 2879, H : 1800, F : 4679
X : 30, Y : 15, G : 2879, H : 1800, F : 4679
X : 34, Y : 15, G : 3302, H : 1400, F : 4702
X : 31, Y : 18, G : 3302, H : 1400, F : 4702
X : 33, Y : 15, G : 3202, H : 1500, F : 4702
X : 31, Y : 17, G : 3202, H : 1500, F : 4702
X : 30, Y : 13, G : 2738, H : 2000, F : 4738
X : 29, Y : 14, G : 2738, H : 2000, F : 4738
X : 33, Y : 14, G : 3161, H : 1600, F : 4761
X : 30, Y : 17, G : 3161, H : 1600, F : 4761
X : 30, Y : 16, G : 3061, H : 1700, F : 4761
X : 32, Y : 14, G : 3061, H : 1700, F : 4761
